words,sentiment_coeff
jakarta,1.0283730863778504
ah,-0.9905640261789298
gara,-1.1007773054603724
bareng,-1.0159416043404765
duit,-1.0232983286734538
suami,1.0416099077861285
nyaman,0.9685989565265127
tugas,1.0052601880955607
terimakasih,1.1161316897950007
anggap,1.1114201195321236
ig,-1.0667338958150565
hahaha,-1.0599376556946438
my,1.0219748095310317
capai,0.9929089761676351
bukti,1.084575930889345
suara,-1.04330521441529
peluk,0.9855052639193727
baju,-1.1010793380690684
putus,0.9714500425596996
jiwa,1.043184936923781
bantu,1.0739129374923737
ngerti,-0.9992524937398004
jaman,-1.053086206854302
balas,-0.9988893330808393
makasih,-0.9948851363952806
nikmat,1.027970815056918
me,-1.0527307539014137
pasang,1.003398172937514
tanggal,-1.0172876868842016
kalah,1.043407727396245
twitter,-1.0927097856778216
